alpha_deg,cl,cd,cm
0,0,0.0111,0
1,0.11,0.0111,0
2,0.22,0.0113,0
3,0.3024,0.0117,0
4,0.4044,0.0122,0
5,0.4998,0.0129,0
6,0.5891,0.0138,0.03
7,0.6728,0.0149,0.03
8,0.7434,0.0163,0.03
9,0.8026,0.0178,0.03
10,0.85,0.0195,0.03
11,0.8779,0.0215,0.03
12,0.8938,0.0237,0.03
13,0.8973,0.026,0.032
14,0.8937,0.0286,0.035
15,0.884,0.104,0.04
16,0.8717,0.196,0
17,0.8603,0.217,-0.06
18,0.8489,0.238,-0.06
19,0.8443,0.26,-0.06
20,0.8397,0.282,-0.06
21,0.8425,0.3055,-0.063
22,0.8453,0.329,-0.066
25,0.8866,0.405,-0.075
30,0.855,0.57,-0.08
35,0.98,0.745,-0.08
40,1.035,0.92,-0.1
45,1.05,1.075,-0.225
50,1.02,1.215,-0.34
55,0.955,1.345,-0.35
60,0.875,1.47,-0.4
65,0.76,1.575,-0.46
70,0.63,1.665,-0.15
75,0.5,1.735,-0.48
80,0.365,1.78,-0.26
85,0.23,1.8,-0.46
90,0.09,1.8,-0.5
95,-0.05,1.78,-0.28
100,-0.185,1.75,-0.45
105,-0.32,1.7,-0.275
110,-0.45,1.635,-0.49
115,-0.575,1.555,-0.54
120,-0.67,1.465,-0.56
125,-0.76,1.35,-0.47
130,-0.85,1.225,-0.41
135,-0.93,1.085,-0.42
140,-0.98,0.925,-0.4
145,-0.9,0.755,-0.5
150,-0.77,0.575,-0.35
155,-0.67,0.42,-0.325
160,-0.635,0.32,-0.285
165,-0.68,0.23,-0.275
170,-0.85,0.14,-0.42
175,-0.66,0.055,-0.28
180,0,0.025,0.025
